year_academic,id_school,name_school,sector,category,group,oss_denom,oss_0_numer,oss_0_pct,oss_1_numer,oss_1_pct,oss_2_numer,oss_2_pct,oss_3_numer,oss_3_pct,oss_4_numer,oss_4_pct,att_denom,att_95_numer,att_95_pct,grad_denom,grad_4_numer,grad_4_pct
2018-2019,2520,Abram S. Jenks School,District,All Students,All Students,292,291,99.66,1,0.34,0,0,0,0,0,0,292,218,74.66,,,
2018-2019,2540,Francis S. Key School,District,All Students,All Students,496,487,98.19,6,1.21,0,0,1,0.2,2,0.4,496,293,59.07,,,
2018-2019,2580,Eliza B. Kirkbride School,District,All Students,All Students,571,566,99.12,4,0.7,0,0,0,0,1,0.18,571,449,78.63,,,
2018-2019,2590,George W. Nebinger School,District,All Students,All Students,500,494,98.8,6,1.2,0,0,0,0,0,0,500,318,63.6,,,
2018-2019,2620,Academy at Palumbo,District,All Students,All Students,1066,1053,98.78,12,1.13,1,0.09,0,0,0,0,1066,730,68.48,234,226,96.58
2018-2019,2630,George W. Sharswood School,District,All Students,All Students,553,545,98.55,6,1.08,2,0.36,0,0,0,0,553,267,48.28,,,
2018-2019,2640,Southwark School,District,All Students,All Students,936,914,97.65,15,1.6,2,0.21,3,0.32,2,0.21,936,637,68.06,,,
2018-2019,2650,Science Leadership Academy,District,All Students,All Students,506,503,99.41,3,0.59,0,0,0,0,0,0,506,327,64.62,120,118,98.33
2018-2019,2670,Constitution High School,District,All Students,All Students,394,383,97.21,9,2.28,2,0.51,0,0,0,0,394,194,49.24,110,105,95.45
2018-2019,2680,The Science Leadership Academy at Beeber,District,All Students,All Students,557,552,99.1,5,0.9,0,0,0,0,0,0,557,372,66.79,120,114,95.00
2018-2019,2690,John H. Taggart School,District,All Students,All Students,474,472,99.58,2,0.42,0,0,0,0,0,0,474,292,61.6,,,
2018-2019,2720,Vare-Washington School,District,All Students,All Students,393,384,97.71,5,1.27,1,0.25,1,0.25,2,0.51,393,235,59.8,,,
2018-2019,4020,Overbrook High School,District,All Students,All Students,646,467,72.29,101,15.63,43,6.66,25,3.87,10,1.55,646,80,12.38,152,71,46.71
2018-2019,4030,High School of Engineering and Science,District,All Students,All Students,942,930,98.73,9,0.96,2,0.21,0,0,1,0.11,942,738,78.34,218,215,98.62
2018-2019,4060,Murrell Dobbins Career and Technical High School,District,All Students,All Students,724,613,84.67,99,13.67,11,1.52,0,0,1,0.14,724,177,24.45,137,120,87.59
2018-2019,4140,Strawberry Mansion High School,District,All Students,All Students,220,186,84.55,22,10,11,5,1,0.45,0,0,220,38,17.27,70,40,57.14
2018-2019,4220,James G. Blaine School,District,All Students,All Students,492,457,92.89,21,4.27,11,2.24,1,0.2,2,0.41,492,161,32.72,,,
2018-2019,4240,Lewis C. Cassidy Academics Plus School,District,All Students,All Students,513,436,84.99,50,9.75,12,2.34,10,1.95,5,0.97,513,176,34.31,,,
2018-2019,4270,William Dick School,District,All Students,All Students,570,564,98.95,6,1.05,0,0,0,0,0,0,570,165,28.95,,,
2018-2019,4280,Samuel Gompers School,District,All Students,All Students,372,323,86.83,30,8.06,7,1.88,6,1.61,6,1.61,372,158,42.47,,,
2018-2019,4300,Edward Heston School,District,All Students,All Students,599,510,85.14,54,9.02,21,3.51,6,1,8,1.34,599,136,22.7,,,
